Timestep,KendallTau,MAP,a
7,0.8644940711766014,0.735059533032948,1.0
8,0.8381022563720385,0.522863882796399,1.0
9,0.8688146398565862,0.5744408842649763,1.0
7,0.86641957391842,0.738643109320606,1.1
9,0.8676936323751395,0.6349788843744097,1.1
8,0.838379575130081,0.5308584491825095,1.1
8,0.8407128577092678,0.5373855488346091,1.2
7,0.8676430862264581,0.7577355479417771,1.2
9,0.8664027829448618,0.6262821709120142,1.2
7,0.8692209379917963,0.741190358437404,1.3
9,0.8671449023725218,0.6328815566351113,1.3
8,0.8401578270883714,0.5365871696070026,1.3
9,0.8663097184680338,0.6210783519171763,1.4
7,0.8706893370782232,0.7616600481655662,1.4
8,0.8389076264932875,0.5358648197679241,1.4
8,0.8394070454788689,0.5511185600156701,1.5
7,0.8716181302809,0.7517831669893961,1.5
9,0.864405839818836,0.6573632318899822,1.5
7,0.8729944015708369,0.7420930607297409,1.6
8,0.8334135588942975,0.5291914445536263,1.6
9,0.8589987456342657,0.6449656924305872,1.6
7,0.8731070595129374,0.7568852078057227,1.7
8,0.8315959339934733,0.5541296693507085,1.7
9,0.8559200137135144,0.637548591033443,1.7
7,0.8716551107896133,0.7601484499078127,1.8
8,0.8272896300073747,0.5429814827209841,1.8
9,0.8473358459107875,0.6275550961540117,1.8
7,0.869860186935967,0.7493536237435264,1.9
8,0.8269259369628829,0.5450783547627092,1.9
9,0.8416159738932292,0.67667041776715,1.9
